video_id,authorDisplayName,textDisplay
3YeYUoybimM,@Kurohara_Al,Hama emang
3YeYUoybimM,@adindaputri3321,"harusnya di indo diperbanyak shelter buat anabul”, terus ada undang-undang buat orang yg suka nyiksa/nyakitin hewan liar, krn ga semua org bisa bawa pulang kerumah😢"
3YeYUoybimM,@RakyatJelata-f2t,"Ya gak lah, kenapa musti benci ? Justru kita jadi tau 👍👍"
3YeYUoybimM,@geoz7070,Selalu nonton alam semenit...dulu smpat tdk suka sama kucing...skrang malah kebalikannya...❤
3YeYUoybimM,@Niendee,"Setuju min, kain tutup mobil ampe bolong dan pup di teras rumah, ampe terbelesit pengen racun ni kucing, tp selalu sy ingat dalam hati kucingnya ga salah yg salah itu yg suka kasih makan kucing liar atau kucing peliharaan yg di lepas gitu aja"
3YeYUoybimM,@rasyidtriatmaja2223,Terganrung juga
3YeYUoybimM,@feryirawan7393,wah abang ternyata warga green garden
3YeYUoybimM,@budiblack2258,Besok jadi predator peternakan..seperti ayam dll
3YeYUoybimM,@indahkusumastuti3225,"Sama seperti manusia yg hidup di jalanan. Kalau ada orang baik yg suka berbagi, pasti datang kesitu terus dan panggil teman2nya"
3YeYUoybimM,@rfzyd,Dislike 825 bang
3YeYUoybimM,@mr.donqel7770,SE7 BANGAT
3YeYUoybimM,@smarthics,⚠ Saya salah 1 dari sekian PEMBENCI street cat lovers...!!!!!!!!!!!!!!!!!!!!!!!!!!
3YeYUoybimM,@Myhobby7610,"Manusia : kucing liar penyebab kepunahan sekitar 8%-14% burung,mama lia dan reptil.<br><br>Kucing : bagaimana denganmu, hutan kau habisi, udara kau cemari, laut kau kotori, tanah kau keruk, gunung kau hancurkan. <br><br>Siapa penyebab kerusakan dibumi?"
3YeYUoybimM,@NurAisyah-gr9xo,Kalo ingin beramal beramallah dengan mahluk Allah urusan firus atau penyakit tergantung amal baik kita dan takdir Allah banyak orang yg sakit bukan karna firus kucing malah rumah nya bersih tapi karna sakit jantung diabet maaf ya saya cuma niat nya amal hanya Allah yg memberi Rizki kebanyakan kucing liar pada kurus2 dan di tendangin orang 🙏
3YeYUoybimM,@andryprianto6876,"Sebetulnya konsepnya sama, berlaku buat kucing, atau manusia, misalnya pengemis. Pada dasarnya pengemis yg &quot;disuapin&quot; juga akan malas bekerja dan selamanya akan mengemis dan akan melahirkan generasi pengemis baru. Kucing liar yg dikasih makan terus akan malas dan melahirkan generasi kucing pemalas baru yang akhirnya membebani lingkungan, tidak menjalankan tugas naturalnya sebagai pemburu alami hama lingkungan. Solusinya sama kucing liar dan orang miskin mesti dikontrol populasinya dan jangan terlalu disuapin supaya bisa mandiri dan tidak menjadi masalah buat negara"
3YeYUoybimM,@yuliastonocandra881,Setuju banget sama inti pembahasan video nya.
3YeYUoybimM,@ModeSerius-v6k,Anak kucing terlantar yg belum bisa cari makan boleh di adopsi nanti kalo sudah cukup besar alangkah baik nya de lepas kembali agar naluri berburu nya aktif lagi.😊
3YeYUoybimM,@benitomouselini4682,"hindari bayar pajak, agar uang anda tidak dikantongi pejabat korup."
3YeYUoybimM,@DikinCakwe,baik ya di tangkap di lepas di pulo komodo lumayan buat pan komodo
3YeYUoybimM,@linggapanggestu8409,"Assalamuallaikum buat kalian semua baik yg suka di kucing atau yang Tidak suka terhadap kucing dan terutama buat yg bikin ini video mksh saran dan pelajaran nya sisi positif ayo kita simpan nan sisi negatif ayo kita jauhkan . jadi gini ya menerut saya dan pengalaman saya dari dlu aku dan keluarga kecil ku suka sama kucing dan  manfaat nya pilihara kucing tikus agak kurang di rmh ku ya memang kucing jaman sekarang pada takut kek nya ama tikus got yg gede gede tapi setidak tikus pun merasa sedikit takut untuk datang ke tempat yg ada bauh kucing  hehehe stop lanjut ke soal suka beri makan kucing itu bagi ku hal yg biasa aja kalian bilang kucing akan ngelunjak jika suka di kasih makan hahahah jangan kan hewan kita manusia aja ngelujak kalo di baikin apa lagi binatang . stop, lanjut.. Soal berkembang biak nya kucing hahahah yg nama mahluk hidup ya wajarla berkembang biak kita aja berkembang biak dan akhirnya kita manusia pun ada dua nya ada yang menjadi penganggu juga hahah yaitu sampa masyarat dan ada banyak yg baik yaitu yg terpuji ahlak nya dan inggat kucing atau hewan apa pun itu mereka juga berhak untuk hidup di alam semesta ini dunia ini hak nya semua hal yg bernyawa bukan hak kita doank lanjut soal kucing suka maling ya bagi saya itu wajar karena mereka lapar dan nama nya binatang tau nya kenyang ngak tau halal apa haram maling apa bukan yg penting mah am wkwkwk . lanjut soal kucing membawa penyakit conto bulu nya bisa menyebabkan gangguan pernafasan ku rasa memang iya tapi setidak nya uda tau tu tempat ada bulu kucing trus lo hisap oh bagus tu😂😂 lanjut soal kucing membawa virus atau penyakit ya memang bener ada banyak kucing yg terkena penyakit seperti pelu dan gudukan atau korengan pada tubu nya memang itu menjijikan tapi setidak nya tak seharus nya kita menghindari kucing yg kayak itu dengan cara menyingkirkan nya atau mencoba untu menjauhi nya dengan cara yg kasar dan keji dan intinya kucing kucing ku sering kena penyakit penyakit kek gitu dan meskipun tu kucing terkenal penyakit masih ku rawat dan syukur allhamdulilah aku dan keluarga sehat jasmani inggat segala sesuatu itu akan terjadi atas kehendak yg kuasa dan kita sebagai manusia alangka baik untuk bisa menghindari hal hal yg buruk dengan baik dan bijak jangan karena ingin menghidari keburukan lalu meninggal kan suatu hal yg baik dan sekian, terimakasih sehat selalu orang baik. Yg mengerti maksud ku ini pasti orang yg hati nya lembut dan pikiran nya selalu ingat ajaran yg sesunggunya mksh"
3YeYUoybimM,@DikinCakwe,setuju kucing adalah hewan impasif jd harus di batasi kadang yg merawat kucing suka waktu kecilya doang dan dah dewasa di telantarkan mengangu orang lain suka yolong lauk nasi kan jiji mau makan makanya dah di obok obok
3YeYUoybimM,@dedesulaiman85,"iyaa betul sekali alasan feral cat makin banyak Krn ulah mereka yg katanya cat lover.<br>suka kasih makan kucing dijalan.<br>tapi ga mikirin dampaknya.<br>kalo dikasih tau mereka ngegass lah alesan kucing peliharaan nabi lah, sebagai manusia berempati dan bersosial lah dan lain2 sebagainya sampai menghina yg tidak seperti mereka.<br>mereka ga pikirin tuh populasinya JD banyak Krn dikasih kemudahan cari makan.<br>jadi sering kawin JD beranak terus bgitu sampe kiamat.<br>mereka TOLOL sih menurut gua"
